layers,num_layers,total_neurons,learning_rate,batch_size,epochs,test_accuracy,test_loss,train_accuracy,val_accuracy,training_time
[256],1,256,0.01,32,10,0.9638000130653381,0.2960677146911621,0.9783499836921692,0.9638000130653381,52.05843377113342
[256],1,256,0.01,32,20,0.9678000211715698,0.344904363155365,0.984333336353302,0.9678000211715698,103.51753282546997
[256],1,256,0.01,64,10,0.9710999727249146,0.1901451051235199,0.9819166660308838,0.9710999727249146,30.450958013534546
[256],1,256,0.01,64,20,0.9664000272750854,0.3580414652824402,0.9889500141143799,0.9664000272750854,60.03853917121887
[256],1,256,0.01,128,10,0.9724000096321106,0.157070592045784,0.9872166514396667,0.9724000096321106,19.518099069595337
[256],1,256,0.01,128,20,0.9696999788284302,0.3046565353870392,0.9909999966621399,0.9696999788284302,36.93701219558716
[256],1,256,0.1,32,10,0.6313999891281128,1.4402559995651245,0.6118666529655457,0.6313999891281128,54.20948505401611
[256],1,256,0.1,32,20,0.6168000102043152,1.7546977996826172,0.5967000126838684,0.6168000102043152,107.69900393486023
[256],1,256,0.1,64,10,0.6967999935150146,1.102154016494751,0.7380333542823792,0.6967999935150146,31.542235851287842
[256],1,256,0.1,64,20,0.7705000042915344,1.3793450593948364,0.753350019454956,0.7705000042915344,60.90533137321472
[256],1,256,0.1,128,10,0.8287000060081482,0.6739434599876404,0.8315500020980835,0.8287000060081482,18.730913400650024
[256],1,256,0.1,128,20,0.7551000118255615,0.9743986129760742,0.7654333114624023,0.7551000118255615,36.8376088142395
"[128, 64]",2,192,0.001,32,10,0.9772999882698059,0.08878713101148605,0.9949166774749756,0.9772999882698059,40.171061754226685
"[128, 64]",2,192,0.001,32,20,0.9771000146865845,0.11673920601606369,0.9983333349227905,0.9771000146865845,78.73933219909668
"[128, 64]",2,192,0.001,64,10,0.9793999791145325,0.06957034021615982,0.9939333200454712,0.9793999791145325,23.618607997894287
"[128, 64]",2,192,0.001,64,20,0.978600025177002,0.09376521408557892,0.9989166855812073,0.978600025177002,45.99297618865967
"[128, 64]",2,192,0.001,128,10,0.9778000116348267,0.06937897950410843,0.9915833473205566,0.9778000116348267,15.298965215682983
"[128, 64]",2,192,0.001,128,20,0.9787999987602234,0.07657376676797867,0.9987166523933411,0.9787999987602234,28.707958698272705
